host,hostname,user,port,context
switch-01,switch-01.example.com,alice,22,work
switch-02,switch-02.example.com,alice,22,work
switch-03,switch-03.example.com,alice,22,work
switch-04,switch-04.example.com,alice,22,work
switch-05,switch-05.example.com,alice,22,work
switch-06,switch-06.example.com,alice,22,work
switch-07,switch-07.example.com,alice,22,work
switch-08,switch-08.example.com,alice,22,work
switch-09,switch-09.example.com,alice,22,work
switch-10,switch-10.example.com,alice,22,work
firewall-01,firewall-01.example.com,alice,22,work
firewall-02,firewall-02.example.com,alice,22,work
k3s-01,k3s-01.lan.example.net,root,22,homelab
k3s-02,k3s-02.lan.example.net,root,22,homelab
k3s-03,k3s-03.lan.example.net,root,22,homelab
k3s-04,k3s-04.lan.example.net,root,22,homelab
k3s-05,k3s-05.lan.example.net,root,22,homelab
k3s-06,k3s-06.lan.example.net,root,22,homelab
k3s-07,k3s-07.lan.example.net,root,22,homelab
k3s-08,k3s-08.lan.example.net,root,22,homelab
k3s-09,k3s-09.lan.example.net,root,22,homelab
k3s-10,k3s-10.lan.example.net,root,22,homelab
rpi-01,rpi-01.lan.example.net,cj,22,homelab
rpi-02,rpi-02.lan.example.net,cj,22,homelab
